T,Open,High,Low,Close,Volume BTC,Volume USD,BV,C,H,L,O,V,P
2014-08-13,580.0,580.0,531.64,535.08,4.35,2443.41,8.82702332,0.00927401,0.00999699,0.00883501,0.009932,930.08003605,0.25
2014-08-14,535.08,553.83,501.0,523.76,31.83,16362.7,6.59027605,0.01,0.01029989,0.009111,0.0092784,671.15309282,0.0
2014-08-15,523.76,530.0,501.0,530.0,22.87,11929.0,8.77675596,0.01029957,0.01038228,0.00988801,0.009986,869.97531602,0.0
2014-08-16,530.0,530.0,500.0,503.52,12.1,6090.75,7.18928199,0.00965,0.01039999,0.0093,0.0102,738.61240573,0.0
2014-08-17,503.52,539.99,500.0,500.0,2.65,1349.44,9.85016722,0.00899996,0.009802,0.00890001,0.00950801,1059.2713975,0.25
2014-08-18,500.0,505.0,455.0,455.0,28.55,13719.15,9.29717737,0.00822202,0.00908477,0.00800006,0.00891301,1094.18105688,0.25
2014-08-19,455.0,500.5,455.0,500.5,77.76,37096.88,14.7335495,0.00965895,0.01004074,0.00818202,0.008256,1586.4931775,0.0
2014-08-20,474.02,530.0,474.02,530.0,13.53,6759.93,13.7670664,0.01076,0.01115314,0.009396,0.00965894,1316.87871974,0.0
2014-08-21,530.0,530.0,500.01,505.0,4.62,2349.05,12.93056242,0.01117153,0.01177619,0.0106623,0.01076999,1141.78691989,0.0
2014-08-22,505.0,529.97,482.22,529.95,9.62,5098.39,8.29404092,0.01018401,0.01137406,0.010047,0.01110901,799.79387046,0.0
2014-08-23,529.95,529.95,482.27,525.0,0.5639,291.29,4.31358872,0.009887,0.010179,0.009593,0.010179,438.33396084,0.0
2014-08-24,525.0,525.0,524.88,524.88,0.7,367.42,15.10972933,0.01072001,0.01169199,0.00980101,0.00980101,1396.01070776,0.0
2014-08-25,524.88,524.88,490.1,516.12,26.86,13340.99,5.52810847,0.01036,0.010727,0.0103,0.010727,525.3339888,0.0
2014-08-26,516.12,516.12,516.12,516.12,0.0,0.0,3.59120746,0.01084816,0.0111,0.010361,0.010361,331.72050027,0.0
2014-08-27,516.12,524.85,516.12,524.85,1.31,688.66,4.57842955,0.010506,0.01126,0.010406,0.01084816,417.895985,0.0
2014-08-28,524.85,524.85,495.08,495.08,0.02382,11.79,3.38911188,0.01034086,0.01063085,0.01018054,0.01062399,328.20902394,0.0
2014-08-29,495.08,524.88,495.08,524.88,0.5178,271.76,1.59247601,0.01048701,0.0106,0.01026001,0.01034087,152.40691494,0.0
2014-08-30,524.88,524.88,495.26,524.27,0.4584,228.63,4.81227813,0.01034899,0.01067467,0.01033,0.010597,464.33055559,0.0
2014-08-31,524.27,524.27,490.5,509.98,5.61,2789.69,3.77807076,0.01017,0.01049999,0.01001099,0.0103509,369.10894719,0.0
2014-09-01,509.98,509.98,490.01,490.01,0.09953,48.77,4.62445614,0.010058,0.01030682,0.01005,0.01017,453.60796142,0.0
2014-09-02,490.01,524.77,490.01,524.77,3.811e-05,0.02,5.06917417,0.01009601,0.01016,0.0098,0.01010207,510.60479546,0.0
2014-09-03,524.77,524.77,524.77,524.77,0.0,0.0,2.63359072,0.01028073,0.010338,0.01,0.01010601,259.76186156,0.0
2014-09-04,524.77,524.77,475.0,475.01,3.41,1619.79,4.7313583,0.01076999,0.01099893,0.01010614,0.01010614,443.79790878,0.0
2014-09-05,475.01,475.01,475.01,475.01,0.0,0.0,4.44755935,0.010397,0.010724,0.01025901,0.010577,422.75300042,0.0
2014-09-06,475.01,524.77,475.01,524.77,0.1769,92.81,3.54584194,0.010204,0.01048,0.01011743,0.01039145,345.35473207,0.0
2014-09-07,524.77,524.77,480.0,480.0,1.24,605.23,4.57024881,0.010393,0.01069599,0.010198,0.01029825,437.44062951,0.0
2014-09-08,480.0,524.77,465.0,488.77,41.14,19631.5,1.29871212,0.01051205,0.01066991,0.010393,0.01046103,123.49181955,0.0
2014-09-09,488.77,488.77,465.0,475.0,0.5077,236.88,3.96768038,0.01058675,0.01079999,0.0105,0.010536,370.95932302,0.0
2014-09-10,475.0,475.0,475.0,475.0,0.02,9.5,6.5396686200000005,0.011067,0.011234000000000001,0.01060145,0.01075589,593.76343575,0.0
2014-09-11,475.0,475.0,475.0,475.0,1.01,480.12,8.83268138,0.01139697,0.01149898,0.011068,0.011068,781.47802574,0.0
2014-09-12,475.0,475.0,475.0,475.0,0.0,0.0,4.9431148700000005,0.011275,0.01152048,0.011185,0.011267000000000001,433.74254591,0.0
2014-09-13,475.0,475.0,474.77,474.77,0.1492,70.82,4.9092847200000005,0.01131401,0.01147199,0.01121,0.011275,432.3692574,0.0
2014-09-14,474.77,490.0,474.77,490.0,0.212,103.89,10.52711791,0.01125237,0.01155133,0.01125237,0.01129015,919.86186886,0.0
2014-09-15,490.0,490.0,465.01,465.01,3.08,1442.65,6.37126233,0.01085109,0.01150375,0.01080364,0.011245,571.89714693,0.0
2014-09-16,465.01,528.0,465.0,465.0,2.76,1325.24,5.21225701,0.01091301,0.011001,0.01075305,0.01096598,480.10566993,0.0
2014-09-17,465.0,465.0,445.0,445.0,5.14,2361.66,5.36671273,0.01102,0.01117225,0.01075305,0.01091501,487.04168994,0.0
2014-09-18,445.0,503.18,400.0,503.18,18.12,7668.55,7.17921722,0.01117725,0.0114,0.01091001,0.011126,646.01212061,0.0
2014-09-19,503.18,503.18,375.94,375.94,1.5,596.68,6.047902400000001,0.011013,0.01126204,0.01090047,0.01118099,543.82437322,0.0
2014-09-20,375.94,466.67,375.94,385.0,0.1559,62.21,9.99496589,0.01055139,0.01116,0.01042051,0.01111,915.67888742,0.0
2014-09-21,385.0,450.0,385.0,385.01,1.2,483.5,3.41249697,0.01056248,0.0108,0.01042801,0.01044002,323.17903071,0.0
2014-09-22,385.01,425.0,295.0,404.83,24.18,8288.42,4.7666456,0.01057172,0.0109,0.01053676,0.01065355,443.7988205,0.0
2014-09-23,404.83,453.0,404.83,449.81,6.9,3021.93,12.06129532,0.01108879,0.01119999,0.01053593,0.01066052,1116.71795062,0.0
2014-09-24,449.81,449.81,412.34,433.15,4.09,1716.56,19.03913408,0.01118,0.01119182,0.01085479,0.01096374,1719.35695104,0.0
2014-09-25,433.15,433.15,397.0,397.0,4.51,1856.81,9.98486738,0.01097602,0.01117429,0.01080746,0.01106263,905.28623208,0.0
2014-09-26,397.0,397.0,397.0,397.0,0.0,0.0,5.75817453,0.01102999,0.01117434,0.01092373,0.01098315,521.51598607,0.0
2014-09-27,397.0,397.0,397.0,397.0,0.0,0.0,3.51318391,0.01114777,0.01115159,0.01094565,0.011000000000000001,318.96805902,0.0
2014-09-28,397.0,450.0,387.63,390.0,10.78,4543.24,5.79146706,0.0112,0.01121101,0.01096474,0.01114659,523.12538049,0.0
2014-09-29,390.0,394.0,370.01,370.94,0.7155,277.85,3.49487531,0.01130004,0.01133543,0.01111,0.01121101,311.27648647,0.0
2014-09-30,370.94,393.22,370.12,380.02,6.68,2591.8,14.85437564,0.01152995,0.01175817,0.01112737,0.01130004,1290.03180953,0.0
2014-10-01,380.02,390.0,380.02,390.0,2.0,780.0,3.25982695,0.01155071,0.01172747,0.011425,0.01152996,283.07983937,0.0
2014-10-02,390.0,390.0,370.1,370.11,0.275,102.46,1.90488336,0.011441100000000001,0.0117024,0.01141,0.01164499,164.3284941,0.0
2014-10-03,370.11,389.98,355.0,355.0,20.27,7557.1,6.486903099999998,0.01160501,0.011789,0.01141481,0.01144613,561.22598566,0.0
2014-10-04,355.0,369.63,322.11,322.11,38.11,12816.9,12.43001144,0.01194221,0.0119998,0.0114,0.01160561,1060.90771749,0.0
2014-10-05,322.11,330.0,273.33,330.0,18.72,5862.38,11.49605596,0.01178316,0.01199902,0.01140563,0.01194296,978.4385447,0.0
2014-10-06,330.0,349.85,300.0,349.85,53.41,16835.6,6.96855213,0.01143278,0.01187095,0.0112679,0.01176975,604.03904759,0.0
2014-10-07,349.85,349.85,315.06,335.0,0.12,39.97,9.96717535,0.0119371,0.012,0.01135024,0.01136605,849.1499363,0.0
2014-10-08,335.0,359.98,335.0,359.98,8.1,2829.47,9.48084446,0.0111666,0.01189998,0.01114984,0.01148,836.78862011,0.0
2014-10-09,359.98,400.0,335.16,370.19,30.22,11105.09,14.45110289,0.01066413,0.01135233,0.01043434,0.01124172,1326.97940112,0.0
2014-10-10,370.19,378.99,355.59,355.59,7.78,2867.66,5.56253387,0.0104485,0.01083664,0.01041797,0.01083664,526.15084728,0.0
2014-10-11,355.59,379.0,355.59,357.18,0.4618,169.75,8.24443341,0.01034511,0.01051108,0.01033039,0.01051108,791.42870821,0.0
2014-10-12,357.18,379.0,352.83,379.0,16.63,6275.52,4.21372204,0.01024212,0.01054653,0.01020409,0.01036219,406.50726716,0.0
2014-10-13,379.0,400.0,370.1,400.0,20.85,8153.95,6.91297558,0.00993001,0.01040328,0.00988957,0.01036206,683.452852,0.0
2014-10-14,400.0,418.99,395.28,411.26,29.73,12144.5,16.99958913,0.01015326,0.01062272,0.0096364,0.01004821,1683.47498141,0.0
2014-10-15,411.26,411.26,385.48,400.31,11.23,4432.2,4.26007174,0.01012285,0.01033684,0.0101006,0.01015201,416.28561878,0.0
2014-10-16,400.31,400.31,374.61,389.14,16.08,6149.6,4.20368813,0.0103541,0.0105738,0.01012701,0.01032809,406.33505721,0.0
2014-10-17,389.14,389.14,376.73,381.01,0.052160000000000005,19.94,12.40758574,0.01020576,0.01064592,0.01001753,0.01051899,1196.7931627,0.0
